FI,RU
on,является
ei,Нет
ja,и
se,Это
hän,он
en,я не буду
mitä,Какие
että,который
ole,быть
olen,Я
oli,был
niin,так
mutta,но
sen,это
vain,Только
minä,я
jos,если
tämä,это
nyt,сейчас
voi,масло
sinä,ты
olet,находятся
kun,когда
sitä,а
kuin,чем
he,Они
hänen,его
täällä,здесь
olla,быть
et,нет
kaikki,все
minun,мой
ovat,находятся
hyvä,хороший
minua,мне
sitten,затем
onko,будь то
miksi,Зачем
sinua,ты
miten,как
sinun,ваш
älä,область
siitä,оттуда
hänet,ему
mitään,что-либо
kyllä,Да
kiitos,Спасибо
hei,Привет
mikä,Что
olisi,должен
ne,Они
kanssa,с
pitää,держать
joka,который
ollut,был
tai,или
häntä,ему
tässä,здесь
tiedä,знать
minulle,мне
minulla,мне
jotain,что нибудь
ehkä,возможно
missä,куда
tuo,который
minut,мне
me,мы
oletko,Ты
kuka,Кто
hyvin,очень
anteeksi,Извини
vielä,еще
tämän,это
sinut,Тебе
sinulle,для тебя
jo,уже
koska,так как
haluan,Я хочу
olemme,находятся
tiedän,Я знаю
tehdä,сделать
tänne,здесь
meidän,наш
emme,мы - нет
saa,Погода
tule,Приехать
paljon,много
siellä,там
anna,позволять
eivät,нет
tätä,это
pois,выключенный
ennen,до
sinulla,у тебя есть
täytyy,должен
aina,всегда
tulee,приходит
siinä,там
enää,больше
eikö,нет
takaisin,назад
herra,Мистер.
mistä,откуда
selvä,Чисто
yksi,один
te,ты
juuri,точный
näin,таким образом
halua,желание
pitäisi,должен
kuinka,как
vai,или
koko,размер
joku,кто то
meillä,в нашем доме
olin,Я был
kaksi,два
hänelle,ему
mennä,идти
koskaan,Когда-либо
tästä,отсюда
tietää,знать
kai,вероятно
mies,человек
joten,так
aivan,правильно
voin,масло
ihan,довольно
no,Хорошо
siis,следовательно
totta,истинный
isä,отец
entä,Какие
aika,время
siihen,это
mene,идти
oikein,правильно
kuten,нравиться
vähän,маленький
olette,находятся
edes,по меньшей мере
teet,делать
äiti,Мама
eikä,и нет
todella,В самом деле
hyvää,хороший
voit,вы можете
aikaa,время
kukaan,кто угодно
haluat,вы хотите
mukaan,от
kunnossa,хорошо
minusta,мне
itse,себя
myös,также
vaan,но
sanoi,сказал
sillä,за
kaiken,все
ettei,чтобы
noin,о
ulos,вне
hänellä,на его или ее
auttaa,помощь
taas,очередной раз
jälkeen,после
tulla,становиться
katso,Посмотрите
pidä,держать
heidän,их
päästä,будет выпущен
puhua,разговаривать
tänään,Cегодня
sinusta,о тебе
pahoillani,Извините
kerro,рассказать
tuli,Пожар
vaikka,хотя
niitä,их
etkö,не так ли
liian,слишком
meitä,нас
kotiin,дом
tee,чай
muuta,что-нибудь еще
näyttää,Показать
teidän,Ваш
vuotta,год
kiinni,Закрыто
nähdä,видеть
ilman,свободно
tapahtui,произошло
nämä,эти
sinne,там
mennään,Пойдем
heti,немедленно
sanoa,сказать
jotka,который
haluatko,ты хочешь
varmasti,конечно
ette,нет
saat,Вы получаете
tähän,здесь
antaa,давать
tiedät,вы знаете
kolme,три
tarvitse,необходимость
haluaa,пожелания
kertoa,рассказать
ota,брать
meidät,нас
pian,скоро
odota,Ждать
saada,получать
menee,идет
teitä,ты
nähnyt,воспринимается виден
teen,делать
hänestä,от него
luoja,Создатель
tehnyt,Выполнено
enemmän,более
täältä,отсюда
tekee,делает
sanoin,сказал
vastaan,против
n,из
usko,вера
heidät,их
olevan,быть
takia,из-за
sisään,в
käy,бег
poika,сын
jonka,кого
voimme,мы можем
olit,вы были
asia,предмет
heitä,их
olivat,мы
sain,я получил
meille,нас
piti,сохраняется
luulin,я думал
varmaan,воля
yhä,все еще
sano,высказывание
hienoa,иметь штраф
tuon,который
ikinä,Когда-либо
tuolla,там
teille,ты
tiedätkö,вы знаете
varma,Конечно
yhdessä,все вместе
rakastan,Я люблю
joo,Ага
juttu,предмет
tarvitsen,я нуждаюсь
kuollut,мертвых
siksi,так как
voisi,мог
oikeassa,правильно
ottaa,брать
ajan,я еду
kerran,однажды
mihin,куда
lähteä,идти
minne,куда
yhtä,в равной степени
tappaa,убийство
teki,сделанный
valmis,готовы
toinen,второй
tapahtuu,происходить
ihmiset,люди
pidän,Мне нравится
silloin,затем
hauskaa,веселье
voinut,невозможно
tulen,Я буду
pitänyt,сохраняется
tyttö,девочка
teillä,у тебя
teidät,ты
nainen,женщина
rouva,Миссис
kyse,точка
kauan,длинный
rahaa,Деньги
ensin,первый
enkä,и нет
yksin,один
joskus,иногда
olisin,я бы
tosi,истинный
lisää,более
apua,Помощь
tuota,сделать
sai,устала
oliko,Сделал
lopeta,конец
kulta,золото
meni,пошел
päivä,день
pari,пара
tällä,мост
kertaa,времена
tohtori,врач
tuntuu,Чувствовать
menen,я пойду
päivää,день
jotta,так
huomenna,завтра
myöhemmin,потом
uusi,новый
tavata,встретиться
sanoit,ты сказал
niinkö,Действительно
älkää,Начало
halusin,я хотел
nähdään,Увидимся
ainoa,Только
odottaa,ожидать
saanut,ходил
jonkun,кто-то
milloin,Когда
minäkin,я тоже
saan,я получил
etten,нет
paras,Лучший
yhden,один
silti,все еще
asiaa,предмет
parempi,лучше
vie,брать
jota,кого
osaa,может
viime,последний
alas,вниз
paikka,место
tein,сделал
kuuluu,принадлежать
mikään,Любые
teit,ты сделал
ihmisiä,люди
ketään,кто угодно
ajattelin,Я думал о
ylös,вверх
okei,хорошо
jotakin,что нибудь
alkaa,Начало
miehen,мужчина
ymmärrän,Я понимаю
hetki,мгновенный
ohi,мимо
ymmärrä,понимать
sama,одно и тоже
hieman,немного
yli,над
muista,воспоминание
yritän,я постараюсь
kuuntele,Слушать
oletteko,ты
sir,сэр
tullut,становиться
pieni,небольшой
oikea,правильно
riittää,достаточно
tiennyt,известный
minkä,Какие
asioita,такие вещи
tulin,я пришел
jokin,один
isäni,мой отец
teemme,мы сделаем
neiti,Мисс
jossa,куда
toivottavasti,с надеждой
tarkoittaa,иметь в виду
vanha,старый
kuoli,умер
poissa,Отсутствует
läpi,через
voisin,Я мог бы
muuten,в противном случае
soittaa,вызов
halunnut,желанный
otan,брать
haluaisin,мне бы хотелось
saanko,могу я
pyydän,Пожалуйста
minuun,мне
puhu,разговаривать
nopeasti,быстро
oikeasti,серьезно
voinko,Могу я
kanssasi,с тобой
täysin,полностью
nimi,название
kunnes,до того как
hyvältä,хороший
löytää,найти
vasta,Только
tarpeeksi,достаточно
iso,основной
töitä,работай
olisit,ты будешь
käyttää,использовать
poliisi,полиция
asti,до того как
heille,их
viisi,5
ettet,Вы этого не делаете
irti,свободный
kohta,пункт
kuulostaa,звук
luulen,Я думаю
kuitenkin,Однако
tahansa,Любые
isäsi,твой отец
kiltti,Добрый
vuoden,год
tulossa,в ожидании
yrittää,пытаться
samaa,такой же
kiva,красивый
ainakin,по меньшей мере
tulkaa,Ну же
hiljaa,замолчи
mukana,с
eli,или
sellaista,как это
miltä,какого рода
pakko,принужденный
ensimmäinen,первый
eilen,вчера
neljä,четыре
rahat,Деньги
kaunis,красивая
pysy,постоянный
kello,Часы
liikaa,перебор
kuulin,Я слышал
tunnen,я чувствую
senkin,даже так
mieltä,разум
varten,за
sanoo,говорит
mukava,красивый
tarkoitat,ты имеешь в виду
dollaria,доллары
hitto,двойка
muut,Другой
kerron,Я вам скажу
kotona,дома
asian,Причина
kertonut,сообщается
niistä,там
melkein,почти
kertoi,сказал
näytä,Показать
sait,ты получил
siltä,мост
meistä,из нас
kuulla,слышать
toisen,Другая
tunne,чувство
paska,дерьмо
kuullut,слышал
kaveri,парень
näen,Я понимаю
hieno,отлично
luulet,ты думаешь
eri,разные
pysty,в вертикальном положении
halusi,желание
jopa,четное
uskoa,полагать
tehdään,делать
osa,часть
hauska,веселье
kapteeni,капитан
olimme,мы были
auta,помощь
paitsi,кроме
uuden,новый
kanssani,со мной
äitisi,Ваша мать
luuletko,Ты думаешь
tänä,на этом
john,Джон
kanssaan,с его
puhut,ты говоришь
vuoksi,из-за
suoraan,напрямую
näytät,ты выглядишь как
kaikkea,все
aikaan,во время
päivän,день